#Benchmark, creating and producing/consuming with threads!
#
#
#{#productions	timeGreen(ms)	timePthreads(ms)
	1000;		5461;		3353
	2000;		11446;		6021
	3000;		16512;		8644
	4000;		23025;		12429
	5000;		28215;		14479
	6000;		28466;		18050
	7000;		31028;		20246
	8000;		40709;		23169
	9000;		46369;		26049
	10000;		49084;		29245
	11000;		66517;		32096
	12000;		60818;		34891
	13000;		65858;		37494
	14000;		76533;		40310
	15000;		82242;		44076
	16000;		74189;		49231
	17000;		77350;		50850
	18000;		81412;		51945
	19000;		93383;		55127
	20000;		94414;		57865
	21000;		103951;		65986
	22000;		117331;		69923
	23000;		134739;		85050
	24000;		128239;		71512
	25000;		117308;		73373
	26000;		116439;		75620
	27000;		127504;		91975
	28000;		130465;		96969
	29000;		161246;		102016
	30000;		175393;		99758
	31000;		150884;		100696
	32000;		164189;		99126
	33000;		173397;		98287
	34000;		153982;		103594
	35000;		190185;		104451
	36000;		198946;		109551
	37000;		193664;		110984
	38000;		180468;		114449
	39000;		204799;		117291
	40000;		193553;		119244
	41000;		189036;		121867
	42000;		215303;		125199
	43000;		208125;		129792
	44000;		215845;		130254
	45000;		219835;		142965
	46000;		222438;		146183
	47000;		253625;		140674
	48000;		253145;		142692
	49000;		234376;		146524
	50000;		223792;		147283
