#Benchmark, creating and producing/consuming with threads!
#
#
#{#productions	timeGreen(ms)	timePthreads(ms)
	1000;		6;		3
	2000;		11;		6
	3000;		17;		8
	4000;		19;		11
	5000;		27;		15
	6000;		27;		18
	7000;		33;		20
	8000;		37;		23
	9000;		39;		27
	10000;		55;		29
	11000;		46;		33
	12000;		55;		36
	13000;		70;		38
	14000;		71;		41
	15000;		76;		43
	16000;		79;		63
	17000;		109;		50
	18000;		88;		54
	19000;		94;		55
	20000;		99;		59
	21000;		91;		64
	22000;		116;		68
	23000;		116;		67
	24000;		118;		72
	25000;		133;		72
	26000;		131;		75
	27000;		133;		78
	28000;		142;		82
	29000;		152;		85
	30000;		138;		90
	31000;		153;		90
	32000;		134;		94
	33000;		155;		97
	34000;		140;		99
	35000;		168;		102
	36000;		153;		106
	37000;		212;		128
	38000;		177;		110
	39000;		208;		113
	40000;		206;		116
	41000;		215;		119
	42000;		198;		122
	43000;		183;		125
	44000;		190;		129
	45000;		203;		131
	46000;		226;		133
	47000;		229;		139
	48000;		232;		142
	49000;		240;		143
	50000;		253;		146
